age,body_type,diet,diet_intensity,drinks,drugs,education_type,education_progress,ethnicity,height,income,job,offspring,has_kids,orientation,religion,religion_intensity,sex,sign,sign_intensity,smokes,speaks,status,has_dogs,has_cats,likes_dogs,likes_cats
35,fit,vegetarian,mostly,socially,NA,ph.d program,working on,white,64,NA,student,NA,NA,bisexual,atheism,laughing,female,sagittarius,it doesn't matter,no,"english (fluently), spanish (okay), sign language (poorly)",single,FALSE,FALSE,TRUE,TRUE
24,fit,anything,mostly,often,never,college/university,graduated from,"hispanic / latin, white",69,NA,other,NA,NA,gay,catholicism,not too serious,female,pisces,it doesn't matter,no,"english (fluently), spanish (fluently), portuguese (okay)",single,FALSE,FALSE,TRUE,NA
23,curvy,anything,NA,socially,NA,college/university,graduated from,"hispanic / latin, white",62,NA,NA,"doesn't have kids, but wants them",FALSE,straight,NA,NA,female,taurus,it's fun to think about,no,"english, spanish",single,NA,NA,NA,NA
28,curvy,anything,mostly,socially,never,masters program,graduated from,"asian, white",66,NA,science / tech / engineering,NA,NA,straight,agnosticism,not too serious,female,cancer,it doesn't matter,no,"english (fluently), french (poorly)",single,FALSE,FALSE,TRUE,TRUE
29,curvy,other,NA,socially,NA,college/university,graduated from,NA,66,NA,NA,NA,NA,gay,judaism,laughing,female,libra,it's fun to think about,NA,"english, spanish (poorly), hungarian (poorly)",single,FALSE,FALSE,TRUE,TRUE
32,NA,NA,NA,socially,NA,masters program,graduated from,white,68,NA,education / academia,NA,NA,straight,agnosticism,NA,female,cancer,it's fun to think about,NA,"english, spanish",single,NA,NA,NA,NA
55,athletic,NA,NA,socially,never,college/university,graduated from,white,69,NA,other,has a kid,TRUE,straight,christianity,very serious,male,capricorn,it doesn't matter,no,english,single,FALSE,FALSE,FALSE,FALSE
32,fit,anything,NA,socially,never,masters program,graduated from,indian,71,150000,computer / hardware / software,NA,NA,straight,hinduism,not too serious,male,libra,NA,no,english (fluently),single,NA,NA,NA,NA
44,average,anything,mostly,not at all,never,college/university,graduated from,white,62,NA,artistic / musical / writer,doesn't have kids,FALSE,straight,atheism,laughing,female,libra,NA,trying to quit,"english (okay), russian (poorly), italian (poorly)",single,FALSE,TRUE,TRUE,TRUE
28,NA,NA,NA,socially,never,masters program,graduated from,asian,61,20000,medicine / health,NA,NA,straight,agnosticism,not too serious,female,leo,it's fun to think about,no,"english (fluently), french (poorly)",single,FALSE,FALSE,TRUE,NA
23,thin,NA,NA,not at all,never,two-year college,graduated from,"middle eastern, other",63,NA,artistic / musical / writer,NA,NA,straight,islam,not too serious,female,leo,it's fun to think about,yes,"english (fluently), arabic (okay)",single,TRUE,TRUE,TRUE,TRUE
22,average,anything,strictly,socially,never,NA,NA,asian,68,NA,student,NA,NA,gay,NA,NA,male,capricorn,NA,no,"english, sign language",single,NA,NA,NA,NA
37,athletic,NA,NA,often,never,college/university,graduated from,white,72,50000,other,NA,NA,straight,agnosticism,NA,female,aquarius,NA,no,english,single,FALSE,FALSE,TRUE,NA
30,used up,NA,NA,socially,sometimes,college/university,working on,other,64,20000,medicine / health,NA,NA,straight,agnosticism,laughing,female,pisces,it's fun to think about,when drinking,"english, russian",single,TRUE,TRUE,TRUE,TRUE
23,athletic,NA,NA,socially,NA,college/university,graduated from,asian,69,NA,law / legal services,doesn't have kids,FALSE,straight,NA,NA,male,NA,NA,NA,english,single,TRUE,FALSE,TRUE,NA
37,NA,anything,mostly,rarely,never,college/university,graduated from,white,68,NA,artistic / musical / writer,"doesn't have kids, and doesn't want any",FALSE,straight,judaism,laughing,male,aquarius,it's fun to think about,no,"english (fluently), norwegian (poorly), dutch (poorly), hebrew (poorly), spanish (poorly)",single,FALSE,FALSE,TRUE,TRUE
30,skinny,NA,NA,rarely,never,ph.d program,graduated from,white,73,NA,science / tech / engineering,doesn't have kids,FALSE,straight,NA,NA,male,NA,NA,no,english,single,FALSE,FALSE,NA,TRUE
37,average,NA,NA,often,never,dropped out of college/university,NA,white,64,NA,other,doesn't want kids,FALSE,straight,catholicism,somewhat serious,male,taurus,it's fun to think about,no,"english (fluently), german (poorly), sign language (poorly)",available,FALSE,FALSE,NA,TRUE
23,jacked,anything,strictly,socially,NA,college/university,graduated from,white,75,30000,law / legal services,doesn't have kids,FALSE,straight,NA,NA,male,aquarius,NA,no,english (okay),single,NA,NA,NA,NA
28,curvy,anything,mostly,often,sometimes,college/university,graduated from,white,66,20000,other,doesn't have kids,FALSE,straight,NA,NA,female,gemini,it's fun to think about,yes,english,seeing someone,TRUE,FALSE,TRUE,NA
34,athletic,other,NA,socially,never,college/university,graduated from,black,72,NA,artistic / musical / writer,doesn't have kids,FALSE,straight,NA,NA,male,sagittarius,NA,no,english,single,FALSE,FALSE,TRUE,NA
30,fit,NA,NA,not at all,never,NA,NA,asian,62,NA,NA,NA,NA,straight,NA,NA,female,NA,NA,no,english,single,NA,NA,NA,NA
28,average,NA,NA,socially,never,college/university,graduated from,white,70,NA,other,doesn't have kids,FALSE,straight,NA,NA,male,NA,NA,no,english,single,TRUE,FALSE,TRUE,NA
36,fit,NA,NA,not at all,never,masters program,graduated from,NA,65,NA,education / academia,"doesn't have kids, but wants them",FALSE,straight,buddhism,NA,female,NA,NA,no,"english (fluently), spanish (fluently), greek (poorly), sanskrit (poorly)",single,NA,NA,NA,NA
40,athletic,anything,mostly,socially,NA,college/university,graduated from,white,72,NA,other,NA,NA,straight,other,NA,male,gemini,it's fun to think about,no,"english (fluently), spanish (poorly), other (okay)",single,NA,NA,NA,NA
27,fit,anything,strictly,socially,NA,college/university,graduated from,white,71,NA,entertainment / media,doesn't have kids,FALSE,straight,agnosticism,NA,male,gemini,NA,when drinking,"english (fluently), spanish (okay)",single,FALSE,TRUE,TRUE,TRUE
22,average,NA,NA,socially,never,college/university,working on,black,65,NA,clerical / administrative,doesn't want kids,FALSE,straight,christianity,somewhat serious,male,scorpio,it's fun to think about,no,english (fluently),single,TRUE,FALSE,TRUE,FALSE
50,fit,NA,NA,socially,never,masters program,graduated from,white,70,NA,artistic / musical / writer,doesn't have kids,FALSE,straight,other,laughing,female,pisces,it doesn't matter,no,"english (fluently), french (okay), spanish (poorly), german (poorly), italian (poorly)",single,TRUE,FALSE,TRUE,TRUE
28,average,anything,NA,socially,never,dropped out of college/university,NA,white,70,NA,computer / hardware / software,"doesn't have kids, but might want them",FALSE,straight,NA,NA,male,scorpio,it doesn't matter,yes,english,available,NA,NA,NA,NA
20,curvy,vegetarian,mostly,socially,sometimes,college/university,working on,other,67,NA,student,NA,NA,straight,agnosticism,NA,female,virgo,it doesn't matter,when drinking,english,single,FALSE,TRUE,TRUE,TRUE
46,curvy,NA,NA,socially,never,masters program,graduated from,white,62,NA,NA,NA,NA,straight,judaism,NA,female,capricorn,NA,no,english,single,FALSE,FALSE,TRUE,TRUE
26,NA,NA,NA,socially,sometimes,masters program,graduated from,white,69,NA,NA,NA,NA,straight,NA,NA,female,NA,NA,no,english,single,NA,NA,NA,NA
23,average,NA,NA,rarely,sometimes,college/university,working on,white,71,20000,student,NA,NA,straight,agnosticism,NA,male,capricorn,it's fun to think about,sometimes,"english (fluently), spanish (poorly)",single,FALSE,FALSE,TRUE,TRUE
31,athletic,anything,NA,socially,never,college/university,graduated from,asian,67,NA,science / tech / engineering,"doesn't have kids, but wants them",FALSE,straight,NA,NA,male,virgo,it's fun to think about,no,"english (fluently), spanish (poorly)",single,FALSE,FALSE,TRUE,NA
31,average,anything,NA,socially,sometimes,college/university,graduated from,white,67,NA,banking / financial / real estate,"doesn't have kids, but wants them",FALSE,straight,catholicism,not too serious,female,cancer,NA,no,english,single,FALSE,FALSE,TRUE,NA
29,athletic,anything,mostly,socially,sometimes,college/university,graduated from,white,64,NA,sales / marketing / biz dev,NA,NA,straight,NA,NA,male,NA,NA,no,english,single,FALSE,FALSE,TRUE,NA
47,average,anything,NA,socially,never,college/university,graduated from,hispanic / latin,62,NA,sales / marketing / biz dev,"doesn't have kids, but might want them",FALSE,straight,christianity,somewhat serious,female,aries,it's fun to think about,no,english,single,FALSE,FALSE,TRUE,NA
47,fit,NA,NA,not at all,never,med school,graduated from,white,70,NA,medicine / health,has kids,TRUE,straight,NA,NA,male,NA,NA,no,english,single,FALSE,FALSE,TRUE,NA
22,athletic,anything,strictly,rarely,never,college/university,graduated from,white,70,80000,computer / hardware / software,"doesn't have kids, but might want them",FALSE,straight,atheism,laughing,male,virgo,it doesn't matter,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
44,fit,anything,mostly,socially,NA,college/university,graduated from,white,69,150000,science / tech / engineering,"doesn't have kids, but might want them",FALSE,straight,atheism,somewhat serious,male,aquarius,it doesn't matter,no,"english, french (poorly)",single,FALSE,TRUE,NA,TRUE
31,curvy,NA,NA,socially,never,masters program,graduated from,asian,66,NA,banking / financial / real estate,NA,NA,straight,agnosticism,not too serious,female,sagittarius,it's fun to think about,no,english (fluently),single,FALSE,FALSE,FALSE,FALSE
39,average,NA,NA,often,never,NA,NA,white,69,NA,NA,NA,NA,straight,NA,NA,male,NA,NA,no,english,single,NA,NA,NA,NA
35,skinny,anything,NA,socially,NA,college/university,graduated from,white,72,NA,construction / craftsmanship,"doesn't have kids, but might want them",FALSE,straight,NA,NA,male,cancer,it's fun to think about,no,english,single,TRUE,FALSE,TRUE,NA
25,average,anything,mostly,socially,sometimes,college/university,graduated from,white,72,NA,education / academia,NA,NA,straight,agnosticism,NA,male,pisces,it's fun to think about,no,"english, spanish (fluently), portuguese (okay)",single,NA,NA,NA,NA
31,thin,anything,strictly,socially,NA,college/university,graduated from,white,72,NA,artistic / musical / writer,NA,NA,straight,judaism,laughing,male,NA,NA,sometimes,"english (fluently), italian (fluently), hebrew (fluently)",single,NA,NA,NA,NA
28,athletic,vegetarian,mostly,socially,NA,college/university,graduated from,"indian, white",69,NA,artistic / musical / writer,NA,NA,straight,agnosticism,not too serious,male,sagittarius,it's fun to think about,no,"english (fluently), spanish (okay)",single,FALSE,FALSE,TRUE,TRUE
34,fit,anything,mostly,socially,NA,college/university,graduated from,white,71,NA,science / tech / engineering,NA,NA,straight,atheism,laughing,male,NA,NA,no,"english (fluently), french (fluently)",single,NA,NA,NA,NA
40,average,NA,NA,socially,never,masters program,graduated from,hispanic / latin,62,NA,education / academia,doesn't have kids,FALSE,straight,catholicism,not too serious,female,aquarius,it doesn't matter,no,"english, spanish",single,FALSE,TRUE,NA,TRUE
34,average,NA,NA,socially,never,college/university,graduated from,white,72,NA,sales / marketing / biz dev,NA,NA,straight,NA,NA,male,gemini,NA,sometimes,english,single,NA,NA,NA,NA
26,average,anything,strictly,socially,never,college/university,graduated from,white,71,NA,banking / financial / real estate,"doesn't have kids, and doesn't want any",FALSE,straight,NA,NA,male,virgo,it doesn't matter,no,"english (fluently), c++ (fluently), sign language (poorly)",single,NA,NA,NA,NA
28,fit,NA,NA,socially,never,NA,NA,NA,74,150000,NA,NA,NA,straight,NA,NA,male,libra,NA,NA,english,single,NA,NA,NA,NA
44,average,anything,mostly,rarely,never,college/university,graduated from,white,76,NA,other,doesn't want kids,FALSE,gay,christianity,not too serious,male,capricorn,it's fun to think about,no,english (fluently),single,TRUE,FALSE,TRUE,TRUE
22,skinny,NA,NA,socially,NA,college/university,working on,white,70,NA,NA,NA,NA,straight,agnosticism,not too serious,male,scorpio,it doesn't matter,no,"english (fluently), spanish (poorly)",single,NA,NA,NA,NA
33,athletic,NA,NA,socially,never,college/university,graduated from,"middle eastern, white",74,NA,science / tech / engineering,NA,NA,straight,other,somewhat serious,male,pisces,it doesn't matter,no,"english, spanish (poorly), german (poorly)",single,FALSE,FALSE,TRUE,NA
31,average,NA,NA,socially,never,college/university,graduated from,hispanic / latin,76,NA,banking / financial / real estate,NA,NA,gay,NA,NA,male,NA,NA,no,"english (fluently), spanish (fluently)",single,NA,NA,NA,NA
41,NA,NA,NA,socially,never,masters program,graduated from,white,77,50000,other,doesn't want kids,FALSE,gay,buddhism,not too serious,male,scorpio,it's fun to think about,no,"english (fluently), german (okay)",single,FALSE,FALSE,TRUE,NA
28,fit,NA,NA,socially,never,masters program,graduated from,white,74,NA,computer / hardware / software,NA,NA,straight,NA,NA,male,NA,NA,no,"english, ukrainian, c++",single,NA,NA,NA,NA
33,athletic,NA,NA,socially,never,NA,NA,white,71,NA,executive / management,NA,NA,straight,agnosticism,somewhat serious,male,leo,it doesn't matter,no,"english, c++ (okay)",single,TRUE,FALSE,TRUE,NA
23,curvy,NA,NA,socially,never,NA,NA,black,72,NA,law / legal services,NA,NA,straight,christianity,NA,female,aquarius,it's fun to think about,NA,english,single,NA,NA,NA,NA
30,fit,NA,NA,NA,never,NA,NA,NA,72,NA,NA,NA,NA,straight,NA,NA,male,NA,NA,NA,english,single,NA,NA,NA,NA
24,athletic,anything,mostly,rarely,never,college/university,working on,asian,70,NA,other,NA,NA,straight,buddhism,somewhat serious,male,scorpio,it doesn't matter,no,"english (fluently), chinese (fluently), korean (poorly), japanese (poorly)",single,NA,NA,NA,NA
29,fit,anything,NA,socially,never,masters program,graduated from,asian,63,NA,computer / hardware / software,"doesn't have kids, but wants them",FALSE,straight,NA,NA,female,scorpio,it doesn't matter,no,"english (fluently), chinese (fluently)",single,FALSE,FALSE,TRUE,TRUE
49,fit,NA,NA,socially,never,NA,NA,black,69,NA,NA,NA,NA,straight,NA,NA,male,pisces,it doesn't matter,NA,english,single,NA,NA,NA,NA
41,fit,NA,NA,rarely,never,college/university,graduated from,"asian, pacific islander",70,NA,medicine / health,NA,NA,straight,catholicism,laughing,male,taurus,it's fun to think about,no,"english (fluently), spanish (okay)",single,TRUE,FALSE,TRUE,NA
28,athletic,NA,NA,socially,never,masters program,graduated from,white,72,NA,sales / marketing / biz dev,"doesn't have kids, but wants them",FALSE,straight,NA,NA,male,scorpio,it's fun to think about,no,"english (fluently), german (okay)",single,FALSE,FALSE,TRUE,TRUE
29,athletic,anything,mostly,socially,never,college/university,graduated from,white,69,NA,construction / craftsmanship,NA,NA,straight,other,NA,male,aquarius,NA,no,english,single,NA,NA,NA,NA
27,athletic,anything,mostly,often,never,masters program,graduated from,"white, other",73,NA,banking / financial / real estate,NA,NA,straight,NA,NA,male,virgo,it doesn't matter,no,"english (fluently), farsi (okay)",single,FALSE,FALSE,TRUE,NA
29,curvy,NA,NA,rarely,sometimes,dropped out of college/university,NA,white,66,NA,other,NA,NA,straight,agnosticism,laughing,female,leo,it's fun to think about,no,english,single,NA,NA,NA,NA
23,thin,NA,NA,socially,never,college/university,graduated from,"asian, white",63,NA,artistic / musical / writer,NA,NA,straight,NA,NA,female,cancer,NA,no,english,single,FALSE,FALSE,TRUE,TRUE
23,curvy,NA,NA,socially,never,college/university,working on,white,65,NA,political / government,NA,NA,straight,christianity,NA,female,aquarius,NA,no,english,single,TRUE,FALSE,TRUE,NA
23,thin,vegetarian,mostly,socially,never,college/university,graduated from,other,72,NA,other,"doesn't have kids, but might want them",FALSE,straight,christianity,laughing,female,cancer,it's fun to think about,no,english,single,NA,NA,NA,NA
24,NA,NA,NA,socially,NA,college/university,graduated from,white,75,NA,computer / hardware / software,NA,NA,straight,atheism,laughing,male,sagittarius,NA,no,english (okay),single,FALSE,FALSE,TRUE,NA
35,athletic,NA,NA,socially,sometimes,ph.d program,graduated from,NA,64,NA,science / tech / engineering,NA,NA,bisexual,atheism,NA,female,taurus,it doesn't matter,no,"english, spanish, french",available,FALSE,FALSE,TRUE,TRUE
33,curvy,NA,NA,socially,never,college/university,graduated from,NA,67,NA,medicine / health,NA,NA,straight,other,NA,female,leo,NA,when drinking,english,single,TRUE,TRUE,TRUE,TRUE
34,average,NA,NA,rarely,never,college/university,graduated from,white,74,NA,medicine / health,NA,NA,straight,christianity,not too serious,male,gemini,it doesn't matter,no,english (fluently),single,FALSE,FALSE,TRUE,TRUE
28,average,vegetarian,strictly,socially,NA,two-year college,graduated from,white,71,NA,rather not say,"doesn't have kids, and doesn't want any",FALSE,straight,other,somewhat serious,male,scorpio,it's fun to think about,no,"english, ilongo",single,FALSE,FALSE,TRUE,TRUE
61,fit,kosher,NA,socially,never,college/university,graduated from,other,67,NA,entertainment / media,has a kid,TRUE,straight,buddhism,very serious,female,libra,it matters a lot,sometimes,english (fluently),single,FALSE,TRUE,TRUE,TRUE
47,fit,NA,NA,often,sometimes,college/university,graduated from,asian,70,NA,computer / hardware / software,NA,NA,straight,NA,NA,male,NA,NA,no,english,single,FALSE,FALSE,TRUE,NA
31,average,anything,mostly,socially,NA,space camp,graduated from,hispanic / latin,65,NA,medicine / health,"doesn't have kids, but might want them",FALSE,gay,agnosticism,NA,male,virgo,NA,NA,english (fluently),single,FALSE,FALSE,TRUE,NA
32,fit,anything,mostly,socially,never,college/university,graduated from,white,66,NA,sales / marketing / biz dev,"doesn't have kids, but wants them",FALSE,straight,NA,NA,female,sagittarius,it's fun to think about,no,"english, spanish",single,FALSE,FALSE,TRUE,NA
24,thin,NA,NA,socially,sometimes,NA,NA,white,67,NA,NA,NA,NA,bisexual,agnosticism,NA,female,NA,NA,no,english,single,TRUE,FALSE,TRUE,TRUE
34,fit,anything,NA,rarely,never,dropped out of college/university,NA,asian,63,NA,political / government,doesn't have kids,FALSE,straight,NA,NA,female,libra,NA,no,"english (fluently), chinese",single,NA,NA,NA,NA
35,skinny,anything,mostly,socially,never,college/university,graduated from,indian,61,NA,sales / marketing / biz dev,NA,NA,straight,hinduism,NA,female,libra,it's fun to think about,no,english (fluently),single,FALSE,FALSE,TRUE,FALSE
26,NA,anything,mostly,socially,NA,NA,NA,asian,64,NA,science / tech / engineering,NA,NA,straight,agnosticism,not too serious,female,NA,NA,no,english,single,FALSE,FALSE,TRUE,NA
42,a little extra,NA,NA,socially,never,college/university,graduated from,"hispanic / latin, white",72,NA,construction / craftsmanship,has a kid,TRUE,straight,christianity,NA,male,sagittarius,NA,no,english,single,FALSE,TRUE,TRUE,TRUE
29,average,NA,NA,often,never,ph.d program,working on,white,70,NA,student,NA,NA,straight,atheism,NA,male,gemini,it doesn't matter,no,english,single,FALSE,TRUE,TRUE,TRUE
28,curvy,NA,NA,socially,never,college/university,working on,white,65,NA,other,NA,NA,straight,christianity,not too serious,female,virgo,it's fun to think about,sometimes,english (fluently),single,TRUE,FALSE,TRUE,TRUE
37,athletic,anything,mostly,often,never,dropped out of space camp,NA,white,74,NA,construction / craftsmanship,might want kids,FALSE,straight,agnosticism,laughing,male,taurus,it doesn't matter,yes,"english, other (fluently)",single,FALSE,TRUE,TRUE,TRUE
38,fit,NA,NA,rarely,never,college/university,graduated from,white,68,NA,NA,doesn't have kids,FALSE,straight,agnosticism,laughing,male,sagittarius,it's fun to think about,no,english,single,NA,NA,NA,NA
27,a little extra,NA,NA,socially,never,NA,NA,hispanic / latin,69,NA,medicine / health,NA,NA,straight,christianity,NA,male,gemini,it doesn't matter,no,"english (poorly), spanish (fluently)",single,FALSE,FALSE,TRUE,FALSE
26,athletic,anything,mostly,often,sometimes,college/university,graduated from,white,69,NA,science / tech / engineering,NA,NA,straight,atheism,laughing,male,aquarius,it doesn't matter,no,"english (fluently), spanish (okay)",available,FALSE,FALSE,TRUE,TRUE
26,fit,anything,mostly,socially,NA,college/university,graduated from,asian,67,NA,banking / financial / real estate,NA,NA,straight,NA,NA,male,virgo,NA,no,"english (fluently), spanish (okay), tagalog (poorly)",single,FALSE,FALSE,NA,TRUE
31,fit,NA,NA,socially,never,college/university,graduated from,white,66,NA,sales / marketing / biz dev,NA,NA,straight,NA,NA,female,cancer,NA,no,english,single,FALSE,FALSE,TRUE,NA
25,fit,vegetarian,mostly,socially,sometimes,college/university,graduated from,white,65,NA,other,doesn't have kids,FALSE,straight,other,laughing,female,cancer,it's fun to think about,no,english,single,NA,NA,NA,NA
31,athletic,vegan,mostly,socially,NA,ph.d program,graduated from,white,73,100000,science / tech / engineering,"doesn't have kids, but might want them",FALSE,straight,agnosticism,NA,male,virgo,it doesn't matter,no,"english (fluently), chinese (okay), german (poorly), japanese (poorly)",single,NA,NA,NA,NA
50,fit,vegetarian,mostly,socially,never,college/university,graduated from,white,67,NA,medicine / health,NA,NA,straight,buddhism,somewhat serious,female,NA,NA,no,"english, spanish (poorly)",single,FALSE,TRUE,TRUE,TRUE
39,average,anything,NA,rarely,never,masters program,graduated from,white,68,NA,education / academia,NA,NA,straight,NA,NA,female,NA,NA,no,english,single,TRUE,FALSE,TRUE,NA
33,athletic,NA,NA,rarely,never,masters program,graduated from,white,72,100000,sales / marketing / biz dev,NA,NA,straight,NA,NA,male,NA,NA,no,"english (fluently), thai (fluently), spanish (okay), chinese (poorly)",single,FALSE,FALSE,NA,TRUE
24,thin,vegetarian,NA,socially,never,NA,NA,white,64,NA,NA,NA,NA,bisexual,NA,NA,female,gemini,it's fun to think about,no,english,single,FALSE,FALSE,NA,TRUE
25,skinny,vegetarian,strictly,rarely,never,college/university,graduated from,white,74,NA,computer / hardware / software,"doesn't have kids, but wants them",FALSE,straight,christianity,very serious,male,pisces,it doesn't matter,no,english (fluently),single,FALSE,FALSE,TRUE,NA
33,NA,NA,NA,rarely,NA,college/university,graduated from,asian,68,NA,other,NA,NA,straight,NA,NA,male,scorpio,it doesn't matter,yes,"english (fluently), chinese (poorly)",single,NA,NA,NA,NA
29,NA,anything,mostly,socially,never,law school,graduated from,white,68,NA,law / legal services,"doesn't have kids, but wants them",FALSE,straight,NA,NA,female,cancer,it doesn't matter,no,"english, spanish (okay)",single,NA,NA,NA,NA
25,thin,anything,NA,socially,never,college/university,graduated from,asian,67,NA,hospitality / travel,NA,NA,straight,buddhism,NA,male,taurus,NA,no,"english (fluently), chinese (fluently)",single,NA,NA,NA,NA
26,skinny,NA,NA,NA,NA,college/university,working on,hispanic / latin,69,NA,other,NA,NA,straight,NA,NA,female,sagittarius,it's fun to think about,NA,english,single,TRUE,FALSE,TRUE,NA
24,jacked,NA,NA,NA,NA,college/university,graduated from,asian,65,NA,artistic / musical / writer,NA,NA,gay,NA,NA,female,leo,NA,NA,"english (okay), chinese (okay)",single,NA,NA,NA,NA
27,fit,anything,mostly,socially,sometimes,college/university,graduated from,"asian, white",72,40000,executive / management,"doesn't have kids, but wants them",FALSE,straight,NA,NA,male,leo,it doesn't matter,when drinking,english,single,FALSE,FALSE,TRUE,NA
67,average,anything,NA,socially,never,masters program,graduated from,other,68,50000,medicine / health,NA,NA,gay,christianity,not too serious,male,sagittarius,it's fun to think about,no,"english, spanish",single,FALSE,FALSE,TRUE,TRUE
35,athletic,NA,NA,socially,never,ph.d program,graduated from,"asian, white",67,150000,sales / marketing / biz dev,NA,NA,straight,NA,NA,female,sagittarius,it doesn't matter,no,english,single,FALSE,FALSE,TRUE,NA
25,athletic,NA,NA,socially,never,masters program,graduated from,white,71,NA,computer / hardware / software,NA,NA,straight,agnosticism,NA,male,NA,NA,NA,"english, c++",available,FALSE,FALSE,TRUE,NA
24,average,anything,NA,socially,never,college/university,working on,other,66,NA,education / academia,wants kids,FALSE,straight,NA,NA,female,aries,it's fun to think about,no,"english (fluently), sign language (okay), japanese (okay)",single,TRUE,FALSE,TRUE,TRUE
34,curvy,anything,NA,rarely,NA,college/university,graduated from,white,67,NA,hospitality / travel,"doesn't have kids, but wants them",FALSE,straight,NA,NA,female,scorpio,NA,no,english,single,NA,NA,NA,NA
34,athletic,anything,mostly,socially,never,masters program,graduated from,asian,68,NA,executive / management,NA,NA,straight,buddhism,laughing,male,virgo,it's fun to think about,no,english,single,FALSE,FALSE,TRUE,TRUE
27,athletic,anything,NA,often,sometimes,college/university,working on,white,75,NA,student,NA,NA,straight,other,NA,male,gemini,it doesn't matter,sometimes,"english (fluently), swedish (fluently)",single,NA,NA,NA,NA
29,athletic,anything,mostly,not at all,never,college/university,working on,white,69,NA,other,"doesn't have kids, but wants them",FALSE,straight,NA,NA,male,aries,NA,yes,english,single,TRUE,FALSE,TRUE,NA
33,average,NA,NA,socially,never,college/university,graduated from,indian,60,NA,other,NA,NA,straight,NA,NA,female,sagittarius,it's fun to think about,no,"english, other (fluently)",single,NA,NA,NA,NA
28,skinny,anything,mostly,not at all,never,ph.d program,graduated from,white,72,70000,entertainment / media,"doesn't have kids, and doesn't want any",FALSE,straight,agnosticism,laughing,male,scorpio,it doesn't matter,no,"english (fluently), french (poorly)",single,FALSE,FALSE,TRUE,TRUE
24,fit,anything,mostly,socially,never,two-year college,working on,white,69,NA,education / academia,NA,NA,straight,atheism,NA,male,cancer,it's fun to think about,no,"english (fluently), sign language (fluently)",single,TRUE,FALSE,TRUE,NA
24,thin,NA,NA,socially,never,college/university,graduated from,white,67,NA,education / academia,NA,NA,straight,christianity,not too serious,female,NA,NA,no,"english, french, spanish",single,NA,NA,NA,NA
24,a little extra,NA,NA,socially,sometimes,two-year college,graduated from,white,69,80000,artistic / musical / writer,NA,NA,straight,atheism,NA,male,libra,it doesn't matter,no,english (fluently),single,NA,NA,NA,NA
52,athletic,NA,NA,socially,never,law school,graduated from,white,74,NA,law / legal services,NA,NA,straight,NA,NA,male,NA,NA,no,"english, french (poorly), italian (poorly)",single,TRUE,TRUE,TRUE,TRUE
40,fit,NA,NA,socially,never,college/university,graduated from,white,78,NA,entertainment / media,doesn't have kids,FALSE,gay,NA,NA,male,sagittarius,it's fun to think about,no,english,single,NA,NA,NA,NA
56,fit,vegetarian,mostly,rarely,NA,college/university,graduated from,white,63,NA,hospitality / travel,has a kid,TRUE,straight,other,laughing,female,libra,it's fun to think about,no,english (fluently),single,TRUE,FALSE,TRUE,TRUE
25,fit,NA,NA,socially,NA,college/university,graduated from,white,71,80000,computer / hardware / software,NA,NA,straight,NA,NA,male,NA,NA,no,"english, spanish",single,NA,NA,NA,NA
31,athletic,anything,NA,socially,never,masters program,graduated from,NA,68,NA,computer / hardware / software,"doesn't have kids, but might want them",FALSE,straight,NA,NA,male,NA,NA,no,"english (fluently), greek (fluently)",single,FALSE,FALSE,TRUE,NA
31,NA,NA,NA,socially,NA,masters program,working on,white,65,NA,student,NA,NA,straight,judaism,not too serious,female,gemini,it's fun to think about,no,"english (fluently), spanish (fluently), russian (poorly)",seeing someone,FALSE,TRUE,TRUE,TRUE
23,average,NA,NA,socially,never,college/university,working on,hispanic / latin,67,NA,NA,has a kid,TRUE,straight,catholicism,NA,female,leo,NA,no,english,single,NA,NA,NA,NA
21,athletic,other,strictly,not at all,never,high school,graduated from,"black, native american, pacific islander, other",74,NA,other,"doesn't have kids, but wants them",FALSE,straight,islam,somewhat serious,male,sagittarius,it's fun to think about,yes,english,single,FALSE,FALSE,TRUE,FALSE
27,athletic,vegan,mostly,often,often,college/university,graduated from,white,67,20000,artistic / musical / writer,doesn't want kids,FALSE,bisexual,NA,NA,female,capricorn,it matters a lot,yes,"english (fluently), french (poorly), arabic (poorly), catalan (poorly), farsi (poorly)",single,FALSE,FALSE,TRUE,TRUE
33,athletic,NA,NA,socially,never,college/university,graduated from,asian,65,NA,computer / hardware / software,NA,NA,straight,agnosticism,NA,male,scorpio,it doesn't matter,no,"english (fluently), chinese (fluently)",single,FALSE,FALSE,TRUE,NA
33,rather not say,NA,NA,not at all,never,masters program,working on,black,74,70000,education / academia,NA,NA,straight,other,not too serious,male,scorpio,it doesn't matter,no,"english (fluently), french (fluently)",single,NA,NA,NA,NA
26,fit,anything,NA,socially,never,college/university,graduated from,asian,69,NA,banking / financial / real estate,NA,NA,straight,agnosticism,NA,male,NA,NA,no,english (fluently),single,NA,NA,NA,NA
42,a little extra,vegetarian,mostly,socially,never,masters program,graduated from,white,70,NA,other,NA,NA,bisexual,other,somewhat serious,female,libra,it's fun to think about,no,"english, japanese (okay)",single,FALSE,FALSE,TRUE,TRUE
